id,city,temperature,humidity,rainfall,spoilage_risk,recorded_at
118,Sambalpur,37.63,14.0,0.0,Medium,2026-02-12 12:54:12
119,Gunupur,32.58,32.0,0.0,Medium,2026-02-12 12:54:12
120,Soro,28.16,46.0,0.0,Medium,2026-02-12 12:54:12
121,Puri,32.97,37.0,4.11,Medium,2026-02-12 12:54:12
122,Rourkela,32.77,58.0,0.0,Medium,2026-02-12 12:54:12
123,Balangir,31.62,34.0,0.0,Medium,2026-02-12 12:54:12
124,Baripada,24.44,33.0,0.0,Low,2026-02-12 12:54:12
125,Jharsuguda,39.81,47.0,0.0,High,2026-02-12 12:54:12
126,Dhenkanal,27.72,30.0,0.0,Low,2026-02-12 12:54:12
127,Rayagada,29.39,60.0,10.52,High,2026-02-12 12:54:12
128,Soro,30.88,30.0,0.0,Medium,2026-02-12 12:54:12
129,Gunupur,26.51,41.0,0.0,Medium,2026-02-12 12:54:12
130,Soro,25.71,40.0,0.0,Low,2026-02-12 12:54:12
131,Bhubaneswar,30.37,22.0,0.0,Medium,2026-02-12 12:54:12
132,Balasore,34.25,26.0,0.0,Medium,2026-02-12 12:54:12
133,Joda,28.65,19.0,0.0,Medium,2026-02-12 12:54:12
134,Paradip,22.72,42.0,0.0,Medium,2026-02-12 12:54:12
135,Talcher,41.67,10.0,0.0,Medium,2026-02-12 12:54:12
136,Rourkela,33.43,33.0,0.0,Medium,2026-02-12 12:54:12
137,Paradip,34.15,34.0,0.0,Medium,2026-02-12 12:54:12
138,Nuapada,36.28,33.0,0.0,Medium,2026-02-12 12:54:12
139,Deoghar,23.91,53.0,0.43,Medium,2026-02-12 12:54:12
140,Sambalpur,33.39,27.0,0.0,Medium,2026-02-12 12:54:12
141,Nuapada,24.91,8.0,0.0,Low,2026-02-12 12:54:12
142,Bhubaneswar,27.67,-2.0,0.0,Low,2026-02-12 12:54:12
143,Koraput,35.7,38.0,0.0,Medium,2026-02-12 12:54:12
144,Joda,34.65,35.0,0.0,Medium,2026-02-12 12:54:12
145,Cuttack,27.03,23.0,0.0,Low,2026-02-12 12:54:12
146,Puri,34.24,15.0,0.0,Medium,2026-02-12 12:54:12
147,Sundargarh,33.36,65.0,25.93,High,2026-02-12 12:54:12
148,Puri,28.11,18.0,0.0,Medium,2026-02-12 12:54:12
149,Ganjam,34.25,20.0,0.0,Medium,2026-02-12 12:54:12
150,Gopalpur,27.49,46.0,0.0,Medium,2026-02-12 12:54:12
151,Angul,27.8,47.0,14.45,Medium,2026-02-12 12:54:12
152,Jaleswar,29.85,34.0,0.0,Medium,2026-02-12 12:54:12
153,Deoghar,25.47,2.0,0.0,Low,2026-02-12 12:54:12
154,Rourkela,28.27,20.0,3.31,Medium,2026-02-12 12:54:12
155,Bhadrak,32.86,23.0,0.0,Medium,2026-02-12 12:54:12
156,Nayagarh,28.57,30.0,0.0,Medium,2026-02-12 12:54:12
157,Paradip,35.84,40.0,0.0,Medium,2026-02-12 12:54:12
158,Baripada,37.94,35.0,7.58,High,2026-02-12 12:54:12
159,Titlagarh,29.95,21.0,0.0,Medium,2026-02-12 12:54:12
160,Khurda,29.45,14.0,0.0,Medium,2026-02-12 12:54:12
161,Nayagarh,29.15,21.0,0.0,Medium,2026-02-12 12:54:12
162,Soro,25.67,42.0,2.12,Medium,2026-02-12 12:54:12
163,Rourkela,34.53,41.0,0.0,Medium,2026-02-12 12:54:12
164,Bhubaneswar,25.76,12.0,0.0,Low,2026-02-12 12:54:12
165,Khurda,32.6,17.0,0.0,Medium,2026-02-12 12:54:12
166,Sambalpur,21.91,18.0,0.0,Low,2026-02-12 12:54:12
167,Nayagarh,27.88,8.0,0.0,Low,2026-02-12 12:54:12
168,Angul,32.87,19.0,0.0,Medium,2026-02-12 12:54:12
169,Baripada,31.53,18.0,0.0,Medium,2026-02-12 12:54:12
170,Rayagada,22.14,42.0,0.0,Medium,2026-02-12 12:54:12
171,Gopalpur,35.46,47.0,0.0,High,2026-02-12 12:54:12
172,Paradip,33.68,33.0,0.0,Medium,2026-02-12 12:54:12
173,Banki,31.43,9.0,0.0,Medium,2026-02-12 12:54:12
174,Jaleswar,25.26,8.0,0.0,Low,2026-02-12 12:54:12
175,Baripada,28.08,33.0,0.0,Medium,2026-02-12 12:54:12
176,Ganjam,33.65,55.0,0.0,Medium,2026-02-12 12:54:12
177,Jharsuguda,25.14,49.0,0.0,Medium,2026-02-12 12:54:12
178,Koraput,24.41,34.0,0.0,Low,2026-02-12 12:54:12
179,Cuttack,27.31,44.0,0.0,Medium,2026-02-12 12:54:12
180,Gopalpur,25.45,43.0,7.66,Medium,2026-02-12 12:54:12
181,Joda,30.09,58.0,4.75,Medium,2026-02-12 12:54:12
182,Joda,24.56,28.0,0.0,Low,2026-02-12 12:54:12
183,Bhadrak,29.28,35.0,0.0,Medium,2026-02-12 12:54:12
184,Talcher,31.23,63.0,9.59,High,2026-02-12 12:54:12
185,Deoghar,27.38,40.0,0.0,Low,2026-02-12 12:54:12
186,Banki,33.77,17.0,0.0,Medium,2026-02-12 12:54:12
187,Gunupur,22.38,40.0,0.0,Low,2026-02-12 12:54:12
188,Cuttack,31.82,22.0,0.0,Medium,2026-02-12 12:54:12
189,Banki,26.73,45.0,0.0,Medium,2026-02-12 12:54:12
190,Rayagada,29.33,60.0,1.23,Medium,2026-02-12 12:54:12
191,Sundargarh,20.31,40.0,0.0,Low,2026-02-12 12:54:12
192,Gopalpur,28.8,60.0,17.49,High,2026-02-12 12:54:12
193,Bhadrak,33.92,57.0,0.45,Medium,2026-02-12 12:54:12
194,Ganjam,33.4,36.0,0.0,Medium,2026-02-12 12:54:12
195,Khurda,35.24,19.0,3.0,Medium,2026-02-12 12:54:12
196,Gopalpur,24.48,47.0,0.0,Medium,2026-02-12 12:54:12
197,Banki,32.75,20.0,0.0,Medium,2026-02-12 12:54:12
198,Balangir,26.89,33.0,0.0,Low,2026-02-12 12:54:12
199,Paradip,33.66,33.0,0.0,Medium,2026-02-12 12:54:12
200,Angul,30.19,28.0,0.0,Medium,2026-02-12 12:54:12
201,Nayagarh,26.35,17.0,1.28,Low,2026-02-12 12:54:12
202,Deoghar,35.57,22.0,0.0,Medium,2026-02-12 12:54:12
203,Nuapada,31.02,47.0,0.0,Medium,2026-02-12 12:54:12
204,Cuttack,24.19,51.0,6.84,Medium,2026-02-12 12:54:12
205,Titlagarh,27.78,23.0,0.0,Low,2026-02-12 12:54:12
206,Balasore,26.67,57.0,4.18,Medium,2026-02-12 12:54:12
207,Koraput,30.02,28.0,0.0,Medium,2026-02-12 12:54:12
208,Khurda,27.41,14.0,0.0,Low,2026-02-12 12:54:12
209,Jharsuguda,42.21,46.0,0.0,High,2026-02-12 12:54:12
210,Dhenkanal,21.67,13.0,0.0,Low,2026-02-12 12:54:12
211,Soro,29.36,30.0,0.0,Medium,2026-02-12 12:54:12
212,Joda,33.68,25.0,0.0,Medium,2026-02-12 12:54:12
213,Talcher,17.86,48.0,0.0,Medium,2026-02-12 12:54:12
214,Puri,30.05,40.0,1.14,Medium,2026-02-12 12:54:12
215,Dhenkanal,32.57,28.0,0.0,Medium,2026-02-12 12:54:12
216,Gunupur,28.74,17.0,0.0,Medium,2026-02-12 12:54:12
217,Deoghar,31.38,31.0,0.0,Medium,2026-02-12 12:54:12
218,Talcher,26.74,33.0,0.0,Low,2026-02-12 12:54:12
219,Nayagarh,24.65,13.0,0.0,Low,2026-02-12 12:54:12
220,Ganjam,25.14,30.0,4.99,Low,2026-02-12 12:54:12
221,Gopalpur,32.8,15.0,0.0,Medium,2026-02-12 12:54:12
222,Ganjam,30.71,67.0,5.33,High,2026-02-12 12:54:12
223,Gunupur,32.46,32.0,0.0,Medium,2026-02-12 12:54:12
224,Ganjam,24.81,39.0,0.0,Low,2026-02-12 12:54:12
225,Sambalpur,28.85,30.0,0.0,Medium,2026-02-12 12:54:12
226,Titlagarh,23.9,68.0,23.89,Medium,2026-02-12 12:54:12
227,Banki,33.27,79.0,1.74,High,2026-02-12 12:54:12
228,Joda,31.78,33.0,0.0,Medium,2026-02-12 12:54:12
229,Bhubaneswar,31.27,40.0,0.0,Medium,2026-02-12 12:54:12
230,Angul,23.5,57.0,0.0,Medium,2026-02-12 12:54:12
231,Rourkela,37.94,23.0,0.0,Medium,2026-02-12 12:54:12
232,Balasore,37.7,35.0,0.0,Medium,2026-02-12 12:54:12
233,Talcher,28.35,26.0,0.0,Medium,2026-02-12 12:54:12
234,Gopalpur,28.43,-28.0,0.0,Medium,2026-02-12 12:54:12
235,Baripada,33.07,18.0,0.0,Medium,2026-02-12 12:54:12
236,Rayagada,30.02,30.0,6.77,Medium,2026-02-12 12:54:12
237,Rayagada,31.59,29.0,0.0,Medium,2026-02-12 12:54:12
238,Deoghar,33.51,29.0,0.0,Medium,2026-02-12 12:54:12
239,Bhadrak,29.68,62.0,0.0,Medium,2026-02-12 12:54:12
240,Deoghar,34.44,24.0,0.0,Medium,2026-02-12 12:54:12
241,Titlagarh,33.88,39.0,0.0,Medium,2026-02-12 12:54:12
242,Nayagarh,30.63,18.0,0.0,Medium,2026-02-12 12:54:12
243,Khurda,28.56,31.0,0.0,Medium,2026-02-12 12:54:12
244,Sundargarh,35.51,33.0,0.0,Medium,2026-02-12 12:54:12
245,Gunupur,31.16,30.0,1.65,Medium,2026-02-12 12:54:12
246,Baripada,29.14,54.0,0.0,Medium,2026-02-12 12:54:12
247,Angul,38.57,26.0,0.0,Medium,2026-02-12 12:54:12
248,Jaleswar,34.25,29.0,0.0,Medium,2026-02-12 12:54:12
249,Talcher,26.14,71.0,2.74,Medium,2026-02-12 12:54:12
250,Bisoi,26.49,23.0,0.0,Low,2026-02-12 12:54:12
251,Sambalpur,21.22,59.0,52.96,Medium,2026-02-12 12:54:12
252,Bhubaneswar,40.75,44.0,0.0,High,2026-02-12 12:54:12
253,Rayagada,29.56,47.0,0.0,Medium,2026-02-12 12:54:12
254,Balasore,27.81,38.0,0.0,Low,2026-02-12 12:54:12
255,Jharsuguda,30.1,9.0,0.0,Medium,2026-02-12 12:54:12
256,Talcher,28.36,54.0,14.56,High,2026-02-12 12:54:12
257,Titlagarh,29.44,49.0,0.0,Medium,2026-02-12 12:54:12
258,Titlagarh,27.52,2.0,0.0,Low,2026-02-12 12:54:12
259,Titlagarh,32.67,37.0,0.0,Medium,2026-02-12 12:54:12
260,Gunupur,30.7,48.0,10.18,High,2026-02-12 12:54:12
261,Ganjam,35.25,66.0,19.34,High,2026-02-12 12:54:12
262,Rayagada,36.88,26.0,5.08,High,2026-02-12 12:54:12
263,Jaleswar,32.89,47.0,0.0,Medium,2026-02-12 12:54:12
264,Talcher,25.76,40.0,3.8,Low,2026-02-12 12:54:12
265,Bhubaneswar,22.3,19.0,0.0,Low,2026-02-12 12:54:12
266,Nuapada,34.21,56.0,4.31,Medium,2026-02-12 12:54:12
267,Titlagarh,27.34,27.0,0.0,Low,2026-02-12 12:54:12
268,Deoghar,26.59,23.0,0.0,Low,2026-02-12 12:54:12
269,Koraput,28.52,9.0,0.0,Medium,2026-02-12 12:54:12
270,Titlagarh,32.56,45.0,0.0,Medium,2026-02-12 12:54:12
271,Puri,30.16,34.0,7.14,Medium,2026-02-12 12:54:12
272,Rayagada,28.44,12.0,0.0,Medium,2026-02-12 12:54:12
273,Banki,21.11,26.0,0.0,Low,2026-02-12 12:54:12
274,Balangir,28.1,25.0,0.0,Medium,2026-02-12 12:54:12
275,Gopalpur,24.4,34.0,0.0,Low,2026-02-12 12:54:12
276,Baripada,27.82,22.0,0.0,Low,2026-02-12 12:54:12
277,Angul,35.38,22.0,30.92,High,2026-02-12 12:54:12
278,Khurda,23.46,40.0,0.0,Low,2026-02-12 12:54:12
279,Balasore,37.69,31.0,0.0,Medium,2026-02-12 12:54:12
280,Baripada,33.81,66.0,0.0,Medium,2026-02-12 12:54:12
281,Rourkela,39.87,29.0,0.0,Medium,2026-02-12 12:54:12
282,Khurda,26.21,23.0,0.0,Low,2026-02-12 12:54:12
283,Bhadrak,23.51,17.0,0.0,Low,2026-02-12 12:54:12
284,Banki,32.59,19.0,0.0,Medium,2026-02-12 12:54:12
285,Ganjam,20.04,52.0,8.63,Medium,2026-02-12 12:54:12
286,Sambalpur,34.06,54.0,8.25,High,2026-02-12 12:54:12
287,Ganjam,22.83,2.0,0.0,Low,2026-02-12 12:54:12
288,Puri,25.87,11.0,0.61,Low,2026-02-12 12:54:12
289,Joda,24.17,62.0,1.14,Medium,2026-02-12 12:54:12
290,Balasore,29.27,53.0,0.0,Medium,2026-02-12 12:54:12
291,Sundargarh,34.52,18.0,0.0,Medium,2026-02-12 12:54:12
292,Jaleswar,28.56,45.0,0.0,Medium,2026-02-12 12:54:12
293,Jharsuguda,32.22,35.0,0.0,Medium,2026-02-12 12:54:12
294,Joda,24.53,25.0,0.0,Low,2026-02-12 12:54:12
295,Jharsuguda,32.1,57.0,0.0,Medium,2026-02-12 12:54:12
296,Ganjam,26.09,43.0,4.03,Medium,2026-02-12 12:54:12
297,Talcher,35.22,18.0,0.0,Medium,2026-02-12 12:54:12
298,Rayagada,27.16,28.0,0.0,Low,2026-02-12 12:54:12
299,Sambalpur,25.93,6.0,0.0,Low,2026-02-12 12:54:12
300,Gopalpur,29.66,33.0,0.0,Medium,2026-02-12 12:54:12
301,Deoghar,27.68,6.0,0.0,Low,2026-02-12 12:54:12
302,Gopalpur,36.75,39.0,0.0,Medium,2026-02-12 12:54:12
303,Joda,26.86,22.0,0.0,Low,2026-02-12 12:54:12
304,Nayagarh,19.98,28.0,0.0,Low,2026-02-12 12:54:12
305,Rourkela,36.45,24.0,0.0,Medium,2026-02-12 12:54:12
306,Nayagarh,27.67,-1.0,0.0,Low,2026-02-12 12:54:12
307,Rayagada,28.39,20.0,0.0,Medium,2026-02-12 12:54:12
308,Balasore,25.02,44.0,0.0,Medium,2026-02-12 12:54:12
309,Dhenkanal,31.25,29.0,0.0,Medium,2026-02-12 12:54:12
310,Talcher,33.48,36.0,0.0,Medium,2026-02-12 12:54:12
311,Nuapada,31.74,40.0,0.0,Medium,2026-02-12 12:54:12
312,Puri,27.29,36.0,0.0,Low,2026-02-12 12:54:12
313,Joda,35.95,13.0,0.0,Medium,2026-02-12 12:54:12
314,Soro,33.83,55.0,14.51,High,2026-02-12 12:54:12
315,Gunupur,37.87,56.0,14.83,High,2026-02-12 12:54:12
316,Cuttack,37.08,12.0,0.0,Medium,2026-02-12 12:54:12
317,Cuttack,28.38,35.0,0.0,Medium,2026-02-12 12:54:12
318,Dhenkanal,32.08,43.0,17.79,High,2026-02-12 12:54:12
319,Cuttack,21.6,31.0,0.0,Low,2026-02-12 12:54:12
320,Dhenkanal,33.12,28.0,0.0,Medium,2026-02-12 12:54:12
321,Deoghar,32.5,28.0,0.0,Medium,2026-02-12 12:54:12
322,Paradip,36.6,-3.0,0.0,Medium,2026-02-12 12:54:12
323,Rourkela,37.48,20.0,0.0,Medium,2026-02-12 12:54:12
324,Baripada,27.58,45.0,0.0,Medium,2026-02-12 12:54:12
325,Balangir,27.34,42.0,9.74,Medium,2026-02-12 12:54:12
326,Baripada,33.2,55.0,0.0,Medium,2026-02-12 12:54:12
327,Balasore,35.51,18.0,0.0,Medium,2026-02-12 12:54:12
328,Nuapada,29.61,11.0,0.0,Medium,2026-02-12 12:54:12
329,Deoghar,40.28,24.0,0.0,Medium,2026-02-12 12:54:12
330,Jaleswar,35.49,41.0,0.0,High,2026-02-12 12:54:12
331,Nuapada,33.35,13.0,0.0,Medium,2026-02-12 12:54:12
332,Rourkela,33.28,3.0,0.0,Medium,2026-02-12 12:54:12
333,Puri,26.78,27.0,0.0,Low,2026-02-12 12:54:12
334,Deoghar,30.97,7.0,0.0,Medium,2026-02-12 12:54:12
335,Baripada,29.44,22.0,0.0,Medium,2026-02-12 12:54:12
336,Baripada,33.64,56.0,0.0,Medium,2026-02-12 12:54:12
337,Baripada,29.79,61.0,0.0,Medium,2026-02-12 12:54:12
338,Rayagada,25.45,38.0,1.12,Low,2026-02-12 12:54:12
339,Nayagarh,32.04,54.0,0.0,Medium,2026-02-12 12:54:12
340,Balasore,25.23,32.0,0.0,Low,2026-02-12 12:54:12
341,Koraput,35.39,28.0,0.0,Medium,2026-02-12 12:54:12
342,Bhubaneswar,26.56,18.0,0.0,Low,2026-02-12 12:54:12
343,Bhubaneswar,29.68,39.0,0.0,Medium,2026-02-12 12:54:12
344,Titlagarh,30.98,35.0,0.0,Medium,2026-02-12 12:54:12
345,Paradip,30.13,22.0,0.0,Medium,2026-02-12 12:54:12
346,Jaleswar,28.07,12.0,0.0,Medium,2026-02-12 12:54:12
347,Sambalpur,27.91,29.0,0.0,Low,2026-02-12 12:54:12
348,Soro,30.93,38.0,0.0,Medium,2026-02-12 12:54:12
349,Gunupur,38.48,23.0,0.0,Medium,2026-02-12 12:54:12
350,Koraput,32.2,52.0,0.0,Medium,2026-02-12 12:54:12
351,Gunupur,20.8,19.0,0.0,Low,2026-02-12 12:54:12
352,Joda,26.54,30.0,0.0,Low,2026-02-12 12:54:12
353,Cuttack,30.6,10.0,0.0,Medium,2026-02-12 12:54:12
354,Cuttack,27.1,55.0,9.22,Medium,2026-02-12 12:54:12
355,Khurda,31.06,20.0,0.0,Medium,2026-02-12 12:54:12
356,Jharsuguda,28.34,16.0,0.0,Medium,2026-02-12 12:54:12
357,Angul,28.54,35.0,0.0,Medium,2026-02-12 12:54:12
358,Cuttack,29.42,57.0,1.24,Medium,2026-02-12 12:54:12
359,Deoghar,31.04,23.0,0.0,Medium,2026-02-12 12:54:12
360,Jaleswar,31.88,30.0,0.0,Medium,2026-02-12 12:54:12
361,Titlagarh,27.26,35.0,0.0,Low,2026-02-12 12:54:12
362,Cuttack,29.15,67.0,0.0,Medium,2026-02-12 12:54:12
363,Soro,27.76,62.0,8.9,Medium,2026-02-12 12:54:12
364,Sambalpur,30.43,30.0,0.0,Medium,2026-02-12 12:54:12
365,Puri,23.02,16.0,0.0,Low,2026-02-12 12:54:12
366,Puri,28.65,39.0,0.0,Medium,2026-02-12 12:54:12
367,Soro,37.94,37.0,0.0,Medium,2026-02-12 12:54:12
368,Talcher,36.47,62.0,6.04,High,2026-02-12 12:54:12
369,Banki,29.47,39.0,0.0,Medium,2026-02-12 12:54:12
370,Banki,41.33,68.0,15.24,High,2026-02-12 12:54:12
371,Balasore,36.19,12.0,0.0,Medium,2026-02-12 12:54:12
372,Puri,34.44,46.0,0.0,Medium,2026-02-12 12:54:12
373,Sambalpur,31.94,58.0,0.0,Medium,2026-02-12 12:54:12
374,Banki,22.53,8.0,0.0,Low,2026-02-12 12:54:12
375,Cuttack,22.25,33.0,0.0,Low,2026-02-12 12:54:12
376,Bhadrak,28.25,36.0,0.0,Medium,2026-02-12 12:54:12
377,Deoghar,40.58,4.0,0.0,Medium,2026-02-12 12:54:12
378,Koraput,30.18,17.0,0.0,Medium,2026-02-12 12:54:12
379,Joda,30.32,48.0,0.0,Medium,2026-02-12 12:54:12
380,Titlagarh,31.66,41.0,0.0,Medium,2026-02-12 12:54:12
381,Gopalpur,33.04,53.0,9.65,High,2026-02-12 12:54:12
382,Jaleswar,27.53,2.0,0.0,Low,2026-02-12 12:54:12
